log-tradeBuyQty-asize0                  : 0.017441528861283702
log-asize0-tradeBuyQty                  : -0.0174415288612837
log-cxlBuyTurnover-tradeBuyQty          : -0.01740652319167708
log-tradeBuyQty-cxlBuyTurnover          : 0.01740652319167708
log-addBuyTurnover-tradeSellLow         : 0.017357426001066125
log-tradeSellLow-addBuyTurnover         : -0.017357426001066125
log-addBuyTurnover-tradeSellHigh        : 0.01734836448372164
log-tradeSellHigh-addBuyTurnover        : -0.01734836448372164
log-cxlBuyQty-addBuyQty                 : -0.017294276201005643
log-addBuyQty-cxlBuyQty                 : 0.01729427620100564
log-asize5_9-tradeBuyQty                : -0.017288133452246335
log-tradeBuyQty-asize5_9                : 0.01728813345224633
log-addSellHigh-addBuyTurnover          : -0.017246051523031682
log-addBuyTurnover-addSellHigh          : 0.01724605152303168
log-tradeBuyQty-cxlBuyHigh              : 0.01723981412412943
log-cxlBuyHigh-tradeBuyQty              : -0.01723981412412943
tradeSellQty-atr0_4                     : 0.017221021674833345
log-tradeSellLow-nTradeBuy              : -0.017216716901249218
log-nTradeBuy-tradeSellLow              : 0.017216716901249214
log-nTradeBuy-tradeSellHigh             : 0.01720568952605126
log-tradeSellHigh-nTradeBuy             : -0.01720568952605126
log-tradeBuyQty-tradeBuyLow             : 0.017186343881192518
log-tradeBuyLow-tradeBuyQty             : -0.017186343881192518
log-tradeBuyQty-tradeBuyHigh            : 0.017177623445201483
log-tradeBuyHigh-tradeBuyQty            : -0.01717762344520148
log-cxlBuyLow-tradeBuyQty               : -0.01712227230814741
log-tradeBuyQty-cxlBuyLow               : 0.01712227230814741
log-cxlBuyHigh-addBuyTurnover           : -0.01711114748892018
log-addBuyTurnover-cxlBuyHigh           : 0.01711114748892018
log-bsize0_4-atr10_19                   : 0.017067558605069443
log-atr10_19-bsize0_4                   : -0.017067558605069443
log-addBuyQty-asize5_9                  : 0.017067145490388323
log-asize5_9-addBuyQty                  : -0.01706714549038832
log-asize0-addBuyQty                    : -0.017037849045899913
log-addBuyQty-asize0                    : 0.01703784904589991
log-tradeBuyQty-cxlSellLow              : 0.017009675492467003
log-cxlSellLow-tradeBuyQty              : -0.017009675492466996
log-atr5_9-addBuyTurnover               : -0.01694065834397322
log-addBuyTurnover-atr5_9               : 0.01694065834397322
log-addBuyTurnover-cxlBuyLow            : 0.016919024865018843
